name,type,par,est,se
Euro,geo,mux,-2.1854148291509534,0.03507306977305521
Euro,geo,muy,-0.07901387988216042,0.019495287396645064
Euro,geo,sig,1.9358284886728245,0.02825525842347522
Euro,geo,rho,0.3176598500552875,0.01895796582930927
Euro,geo,r,0.5359211075624029,0.03890598335854195
Euro,geo,rho.sig,0.6149349874445633,0.038880874164765634
Euro,geo,p,0.46851079151568564,0.007753254064909223
UK,geo,mux,-2.7971537362544776,0.04340664137834721
UK,geo,muy,-0.30396642825084746,0.026574849208024335
UK,geo,sig,1.733343074694994,0.035831158573042934
UK,geo,rho,0.48553787236284024,0.02247863607964798
UK,geo,r,0.5376372803114235,0.04840538068630971
UK,geo,rho.sig,0.8416037085622711,0.047554325926121806
UK,geo,p,0.38057673404201375,0.01012319091585747
USA,geo,mux,-1.2032254697356386,0.022569374463672173
USA,geo,muy,-0.31543270100156845,0.011730891763322924
USA,geo,sig,2.171109997256299,0.01797440410042228
USA,geo,rho,0.43723438190935954,0.010273974897204068
USA,geo,r,0.6338512367060207,0.026031426873640618
USA,geo,rho.sig,0.9492839377075891,0.025976213887819805
USA,geo,p,0.37621657067606223,0.004452822907509283
Euro 2002-2006,geo5Euro,mux,-2.582104003169794,0.039482481505677056
Euro 2002-2006,geo5Euro,muy,-0.019391070829037703,0.023815920127814097
Euro 2002-2006,geo5Euro,sig,1.7384777488370755,0.032151017956081725
Euro 2002-2006,geo5Euro,rho,0.12917765688641902,0.025277417706068867
Euro 2002-2006,geo5Euro,r,0.2051814113149122,0.04415402240726052
Euro 2002-2006,geo5Euro,rho.sig,0.2245724821439499,0.04425549945234428
Euro 2002-2006,geo5Euro,p,0.4922645667584618,0.009499391367447159
Euro 2007-2011,geo5Euro,mux,-2.7857463132236298,0.04095350267265519
Euro 2007-2011,geo5Euro,muy,-0.11929683286477893,0.02389166958698969
Euro 2007-2011,geo5Euro,sig,1.8276722644048462,0.03304809476634094
Euro 2007-2011,geo5Euro,rho,0.27145621927484126,0.023873801471744834
Euro 2007-2011,geo5Euro,r,0.37683617010404863,0.04586425941291975
Euro 2007-2011,geo5Euro,rho.sig,0.49613300296882756,0.04586573077186255
Euro 2007-2011,geo5Euro,p,0.4525200962950081,0.009463813734097798
Euro 2012-2016,geo5Euro,mux,-3.0666993186215117,0.042901860020203554
Euro 2012-2016,geo5Euro,muy,0.07697520494536282,0.023924806235140053
Euro 2012-2016,geo5Euro,sig,1.935904446721718,0.03419444394467581
Euro 2012-2016,geo5Euro,rho,0.3231434659208185,0.023331692268143557
Euro 2012-2016,geo5Euro,r,0.7025500775505432,0.04706024182479096
Euro 2012-2016,geo5Euro,rho.sig,0.6255748726051804,0.04748274633978329
Euro 2012-2016,geo5Euro,p,0.5306783649912012,0.009516381806022262
Euro 2017-2021,geo5Euro,mux,-3.0550443265914153,0.04503195672443537
Euro 2017-2021,geo5Euro,muy,0.14415251009554234,0.024425379971106404
Euro 2017-2021,geo5Euro,sig,2.013442671303788,0.036033724040396786
Euro 2017-2021,geo5Euro,rho,0.3556777201893494,0.023173206790585606
Euro 2017-2021,geo5Euro,r,0.8602892091568273,0.04892481899727669
Euro 2017-2021,geo5Euro,rho.sig,0.716136699061285,0.04948963045362013
Euro 2017-2021,geo5Euro,p,0.557309979687144,0.009643597736395457
UK 2002-2006,geo5UK,mux,-3.4459968655065976,0.048009556383516415
UK 2002-2006,geo5UK,muy,-0.3105204500459709,0.030472758087494452
UK 2002-2006,geo5UK,sig,1.6654609720036873,0.039111769166106314
UK 2002-2006,geo5UK,rho,0.3234306539336083,0.029718990410573885
UK 2002-2006,geo5UK,r,0.22814068123008463,0.05491471607691057
UK 2002-2006,geo5UK,rho.sig,0.5386611312760555,0.05436669242888656
UK 2002-2006,geo5UK,p,0.37808260532588844,0.011584674941000461
UK 2007-2011,geo5UK,mux,-3.571228117468549,0.053257237702032736
UK 2007-2011,geo5UK,muy,-0.22009096781353987,0.03273170159745466
UK 2007-2011,geo5UK,sig,1.6992071925177703,0.043839026376830126
UK 2007-2011,geo5UK,rho,0.42940202065027655,0.029384516684380323
UK 2007-2011,geo5UK,r,0.5095520341570742,0.05846932197607684
UK 2007-2011,geo5UK,rho.sig,0.729643001970614,0.05761893097921163
UK 2007-2011,geo5UK,p,0.41290015449776746,0.012745592503275437
UK 2012-2016,geo5UK,mux,-3.367189282379172,0.060939685204461115
UK 2012-2016,geo5UK,muy,0.05613604074966813,0.036519171255426634
UK 2012-2016,geo5UK,sig,1.741545334718677,0.04917423671833738
UK 2012-2016,geo5UK,rho,0.467676790717272,0.03212200634292997
UK 2012-2016,geo5UK,r,0.8706163737795362,0.0634730463132835
UK 2012-2016,geo5UK,rho.sig,0.814480333029868,0.06338852637749505
UK 2012-2016,geo5UK,p,0.5223832835864741,0.014546104151193586
UK 2017-2021,geo5UK,mux,-3.4070199736931754,0.06441987063956503
UK 2017-2021,geo5UK,muy,-0.08475549346801922,0.03849575992705198
UK 2017-2021,geo5UK,sig,1.7711227382353727,0.053579873756539206
UK 2017-2021,geo5UK,rho,0.4693250081635943,0.032876304413041894
UK 2017-2021,geo5UK,r,0.7464767001130245,0.06879967020159992
UK 2017-2021,geo5UK,rho.sig,0.8312321935810437,0.06894764035320484
UK 2017-2021,geo5UK,p,0.46622788861586695,0.015302524632142555
USA 2002-2006,geo5USA,mux,-1.548180215830271,0.02602136801464323
USA 2002-2006,geo5USA,muy,-0.191236601318633,0.014351814582259712
USA 2002-2006,geo5USA,sig,1.9891938875972095,0.02093800765554321
USA 2002-2006,geo5USA,rho,0.3294044828355622,0.013707264592608008
USA 2002-2006,geo5USA,r,0.46401278248498723,0.029566012978367764
USA 2002-2006,geo5USA,rho.sig,0.6552493838036202,0.029750421577134294
USA 2002-2006,geo5USA,p,0.4241701145221779,0.0056218013299334305
USA 2007-2011,geo5USA,mux,-1.5036361112767769,0.028652649329293903
USA 2007-2011,geo5USA,muy,-0.07363127072678714,0.015545962318813328
USA 2007-2011,geo5USA,sig,2.0166600415769005,0.022899213336929836
USA 2007-2011,geo5USA,rho,0.3822009486775117,0.014338031074303202
USA 2007-2011,geo5USA,r,0.6971381103239345,0.031717505429865955
USA 2007-2011,geo5USA,rho.sig,0.7707693810507216,0.03197898595305925
USA 2007-2011,geo5USA,p,0.47065189411275077,0.006185152313008827
USA 2012-2016,geo5USA,mux,-1.4279209826309156,0.03025961231767493
USA 2012-2016,geo5USA,muy,-0.0709440918477943,0.01616411185706538
USA 2012-2016,geo5USA,sig,2.0696006583169435,0.024471905192567395
USA 2012-2016,geo5USA,rho,0.400739712374245,0.014484133247940033
USA 2012-2016,geo5USA,r,0.7584270806956858,0.033400731731792116
USA 2012-2016,geo5USA,rho.sig,0.82937117254348,0.03384747863903166
USA 2012-2016,geo5USA,p,0.47172112576924635,0.0064323400698722685
USA 2017-2021,geo5USA,mux,-1.2777689048768168,0.030951153367156762
USA 2017-2021,geo5USA,muy,-0.16988672619546583,0.016970673525699895
USA 2017-2021,geo5USA,sig,2.0117819343949566,0.026003905251809425
USA 2017-2021,geo5USA,rho,0.43843065213242366,0.015468865964320162
USA 2017-2021,geo5USA,r,0.7121401392495437,0.03399775262095836
USA 2017-2021,geo5USA,rho.sig,0.8820268654450095,0.03655152481574882
USA 2017-2021,geo5USA,p,0.43254961016752835,0.006673319982440954
Energy,ind,mux,-0.9037889631235747,0.07686413458619595
Energy,ind,muy,-0.39650825624686786,0.040261090179045556
Energy,ind,sig,2.1791184811417836,0.06136819095903302
Energy,ind,rho,0.3035982268889557,0.03888336604039215
Energy,ind,r,0.2650682508087319,0.09207832842378076
Energy,ind,rho.sig,0.6615765070555998,0.09209667143928653
Energy,ind,p,0.34586505916414584,0.014847590058714171
Materials,ind,mux,-1.2179833515971101,0.08760881423757645
Materials,ind,muy,-0.19447221038471796,0.04291097442211126
Materials,ind,sig,2.3363288770700374,0.0686944141586094
Materials,ind,rho,0.4613215904366321,0.03630096597628928
Materials,ind,r,0.8833267429682624,0.09895843721654726
Materials,ind,rho.sig,1.0777989533529804,0.10008954573130016
Materials,ind,p,0.42290307661465054,0.016798327934433935
Industrials,ind,mux,-1.4122536341097756,0.06159717067481137
Industrials,ind,muy,0.026479902648891124,0.03151635050840508
Industrials,ind,sig,2.1904847642286933,0.04851564500408536
Industrials,ind,rho,0.4195989925044261,0.027813084237170695
Industrials,ind,r,0.9456051028155462,0.06743227086991352
Industrials,ind,rho.sig,0.9191252001666551,0.0686979445213971
Industrials,ind,p,0.5105627183294281,0.012568797441563377
Consumer Discretionary,ind,mux,-1.3967255276928756,0.059662288417436864
Consumer Discretionary,ind,muy,-0.05362186615495959,0.031006382413838175
Consumer Discretionary,ind,sig,2.142129701690566,0.046623530493875895
Consumer Discretionary,ind,rho,0.2948533115911906,0.03018251620119943
Consumer Discretionary,ind,r,0.577992170246353,0.06768180282638385
Consumer Discretionary,ind,rho.sig,0.6316140364013125,0.06860796749494032
Consumer Discretionary,ind,p,0.47861821745012545,0.012351986275196167
Consumer Staples,ind,mux,-1.32573762184563,0.11190610292815101
Consumer Staples,ind,muy,0.2618353785340001,0.05247135952013902
Consumer Staples,ind,sig,2.440209588658962,0.0860281261535244
Consumer Staples,ind,rho,0.7285691613080681,0.030228342811589835
Consumer Staples,ind,r,2.0396968319591657,0.10410858644847425
Consumer Staples,ind,rho.sig,1.7778614534251658,0.10886759947452937
Consumer Staples,ind,p,0.6032758189096651,0.02022764173782657
Health Care,ind,mux,-1.4460691230791949,0.04525798116479195
Health Care,ind,muy,-0.7083833861470574,0.027433674917131983
Health Care,ind,sig,1.9185059554501651,0.03928406229930959
Health Care,ind,rho,0.5430228054083707,0.02268237199889529
Health Care,ind,r,0.3334090999741579,0.059011136511426324
Health Care,ind,rho.sig,1.0417924861212153,0.0574186517255941
Health Care,ind,p,0.2393536033983104,0.008515850794439946
Information Technology,ind,mux,-1.5139970026415086,NA
Information Technology,ind,muy,-0.7199808732527956,NA
Information Technology,ind,sig,1.9971671294020927,0.03735900223666994
Information Technology,ind,rho,0.37381310040999294,0.02552583396506476
Information Technology,ind,r,0.02658636342592624,0.05435530869086382
Information Technology,ind,rho.sig,0.7465672366787218,0.0579784356429279
Information Technology,ind,p,0.23576838601303043,NA
Communication Services,ind,mux,-0.6583547182123757,0.09449654304923318
Communication Services,ind,muy,-0.2795461347516046,0.04493179411450837
Communication Services,ind,sig,2.427519204784625,0.0755802261312719
Communication Services,ind,rho,0.4636907226784176,0.03800396612938694
Communication Services,ind,r,0.8460719996307158,0.10877262332009055
Communication Services,ind,rho.sig,1.1256181343823204,0.10941903693724475
Communication Services,ind,p,0.38991286906663286,0.017238307708878745
Utilities,ind,mux,0.14530799840299347,0.10538019774165189
Utilities,ind,muy,0.9297620578266456,0.07283087270210903
Utilities,ind,sig,1.7141990398420752,0.08758878388696267
Utilities,ind,rho,0.4061701111657289,0.06356221373562726
Utilities,ind,r,1.6260184723994868,0.1188229103981818
Utilities,ind,rho.sig,0.6962564145728414,0.11620084348188289
Utilities,ind,p,0.8237528523394316,0.018858668312041395
LIVA,measure,mux,-0.8572166798901032,0.00840841290203889
LIVA,measure,muy,-0.33289026281211537,0.005507777748032729
LIVA,measure,sig,1.5840933041413148,0.006882170151885541
LIVA,measure,rho,0.21779700800369758,0.005718415172542751
LIVA,measure,r,0.012120519228554338,0.009629265965241935
LIVA,measure,rho.sig,0.3450107820406697,0.009484772604494934
LIVA,measure,p,0.3696085599077368,0.002078849742955812
Wealth,measure,mux,-1.3059104161591042,0.01318432669529098
Wealth,measure,muy,-0.21463102062667577,0.0077891210877769615
Wealth,measure,sig,1.7979039965726626,0.010467548404504649
Wealth,measure,rho,0.4842436922655608,0.006663654934679026
Wealth,measure,r,0.6559926490126786,0.014431529208076823
Wealth,measure,rho.sig,0.8706236696393543,0.014225618337635354
Wealth,measure,p,0.41502750327610227,0.0030366540174541616
altp,sup,mux,-2.9409279563882005,0.018924082437184915
altp,sup,muy,-0.3131599218027195,0.011674929860458623
altp,sup,sig,1.7249369581555887,0.0157787683283369
altp,sup,rho,0.3776055084031428,0.010828333692776058
altp,sup,r,0.3381857752449922,0.021479093281945017
altp,sup,rho.sig,0.6513456970477117,0.021273551531492702
altp,sup,p,0.37707958290861004,0.004434747560728922
