name,dist,par,type,value
roa,st,m,est,0.044114484466138505
roa,st,s,est,0.076619052177615235
roa,st,df,est,0.9466065072614446
roa,st,m,se,0.00165971355545537
roa,st,s,se,0.0023483207190960202
roa,st,df,se,0.028069455936560916
roa,st,n,stat,4220
roa,st,loglik,stat,-112.483648489538
roa,st,AIC,stat,230.967296979076
roa,dln,mu1,est,-1.7724079479889114
roa,dln,mu2,est,-2.660598520718779
roa,dln,sig1,est,1.5127990118412697
roa,dln,sig2,est,1.0359564082226769
roa,dln,p,est,0.5951644644282162
roa,dln,mu1,se,0.03660473768471353
roa,dln,mu2,se,0.020673695953942473
roa,dln,sig1,se,0.025883420259148446
roa,dln,sig2,se,0.01461846569705398
roa,dln,p,se,0.007557027792317317
roa,dln,n,stat,4219
roa,dln,loglik,stat,78.28642773467152
roa,dln,AIC,stat,-146.57285546934304
roa,nln,mux,est,-1.74652268750722
roa,nln,muy,est,0.2431928352260913
roa,nln,sig,est,1.018797713999878
roa,nln,rho,est,-0.6627238473737458
roa,nln,mux,se,0.02134917058212772
roa,nln,muy,se,0.018926269842558935
roa,nln,sig,se,0.018770205642124768
roa,nln,rho,se,0.012565269982398371
roa,nln,n,stat,4220
roa,nln,loglik,stat,232.11941319681424
roa,nln,AIC,stat,-456.23882639362847
roa,aep,bl,est,0.4216762410002158
roa,aep,br,est,0.46475661925310985
roa,aep,al,est,0.1665885585751594
roa,aep,ar,est,0.07215533153828523
roa,aep,m,est,0.06362622912123772
roa,aep,bl,se,0.010145714287553145
roa,aep,br,se,0.01253515210139271
roa,aep,al,se,0.0046563947697647965
roa,aep,ar,se,0.00253389984293254
roa,aep,m,se,0.001078019171734376
roa,aep,n,stat,4220
roa,aep,loglik,stat,226.06237934807808
roa,aep,AIC,stat,-442.12475869615616
roa,stable,alpha,est,0.9764460468340466
roa,stable,beta,est,-0.580094822177614
roa,stable,gamma,est,0.08055102469051645
roa,stable,delta,est,0.04576793309997401
roa,stable,alpha,se,0.017059473459810265
roa,stable,beta,se,0.023261155291855115
roa,stable,gamma,se,0.0019010786445468875
roa,stable,delta,se,0.0018451774249324047
roa,stable,n,stat,4220
roa,stable,loglik,stat,179.3054008334763
roa,stable,AIC,stat,-350.6108016669526
eroc,st,m,est,0.010710345535229234
eroc,st,s,est,0.10830446328735498
eroc,st,df,est,0.9117336915383919
eroc,st,m,se,0.0024122913382989583
eroc,st,s,se,0.0033662597157821544
eroc,st,df,se,0.026611311467540675
eroc,st,n,stat,4220
eroc,st,loglik,stat,-1768.2980629198507
eroc,st,AIC,stat,3542.5961258397015
eroc,dln,mu1,est,-1.7015039271171684
eroc,dln,mu2,est,-2.6254614248374404
eroc,dln,sig1,est,1.7056917829971245
eroc,dln,sig2,est,1.2660218856044285
eroc,dln,p,est,0.47867365666595896
eroc,dln,mu1,se,0.03636547121413393
eroc,dln,mu2,se,0.028168617327504836
eroc,dln,sig1,se,0.025714885522019736
eroc,dln,sig2,se,0.019918494431624297
eroc,dln,p,se,0.007689828345194358
eroc,dln,n,stat,4220
eroc,dln,loglik,stat,-1514.0001446724186
eroc,dln,AIC,stat,3038.0002893448373
eroc,nln,mux,est,-1.5425710677148294
eroc,nln,muy,est,-0.048110724546456145
eroc,nln,sig,est,1.1742836743201484
eroc,nln,rho,est,-0.4795798394461231
eroc,nln,mux,se,0.023620272022486507
eroc,nln,muy,se,0.01883576492078524
eroc,nln,sig,se,0.01986527554878305
eroc,nln,rho,se,0.016818369808147642
eroc,nln,n,stat,4220
eroc,nln,loglik,stat,-1458.7013269906038
eroc,nln,AIC,stat,2925.4026539812075
eroc,aep,bl,est,0.3331261628818647
eroc,aep,br,est,0.37097855141305525
eroc,aep,al,est,0.226287675069047
eroc,aep,ar,est,0.10003472614783737
eroc,aep,m,est,0.03204214790218827
eroc,aep,bl,se,0.007589978235704474
eroc,aep,br,se,0.008805935207923842
eroc,aep,al,se,0.007127596473478794
eroc,aep,ar,se,0.003898614984938391
eroc,aep,m,se,6.553018112324404e-4
eroc,aep,n,stat,4220
eroc,aep,loglik,stat,-1506.9641004442149
eroc,aep,AIC,stat,3023.9282008884297
eroc,stable,alpha,est,0.9281583485859927
eroc,stable,beta,est,-0.5361497813104361
eroc,stable,gamma,est,0.11084586296307149
eroc,stable,delta,est,0.011236254379655924
eroc,stable,alpha,se,0.016617935930713822
eroc,stable,beta,se,0.021775495065043355
eroc,stable,gamma,se,0.002717144847917946
eroc,stable,delta,se,0.0024668751473970406
eroc,stable,n,stat,4220
eroc,stable,loglik,stat,-1477.4810355552784
eroc,stable,AIC,stat,2962.9620711105567
epn,st,m,est,-0.006469638222477981
epn,st,s,est,0.035695745231187896
epn,st,df,est,0.5607792833054508
epn,st,m,se,7.33693127204456e-4
epn,st,s,se,0.0014003101515133393
epn,st,df,se,0.014033896730415359
epn,st,n,stat,4220
epn,st,loglik,stat,-378.5599210463594
epn,st,AIC,stat,763.1198420927188
epn,dln,mu1,est,-3.428397530113819
epn,dln,mu2,est,-2.1532369255467803
epn,dln,sig1,est,1.93444235101882
epn,dln,sig2,est,2.1481931273475103
epn,dln,p,est,0.4786730425162487
epn,dln,mu1,se,0.041242449498710386
epn,dln,mu2,se,0.047796669756534786
epn,dln,sig1,se,0.02916279046534083
epn,dln,sig2,se,0.03379732513246995
epn,dln,p,se,0.007689827537948967
epn,dln,n,stat,4220
epn,dln,loglik,stat,-13.296412120488853
epn,dln,AIC,stat,36.592824240977706
epn,nln,mux,est,-2.181170592438772
epn,nln,muy,est,-0.03900291491147065
epn,nln,sig,est,1.8180429483411005
epn,nln,rho,est,0.40419965929251717
epn,nln,mux,se,0.03254026633136525
epn,nln,muy,se,0.01911282153306498
epn,nln,sig,se,0.02740230272826291
epn,nln,rho,se,0.017173895966027457
epn,nln,n,stat,4220
epn,nln,loglik,stat,21.840068179424183
epn,nln,AIC,stat,-35.680136358848365
epn,aep,bl,est,0.28580084631976205
epn,aep,br,est,0.21192540826583592
epn,aep,al,est,0.05711327210080781
epn,aep,ar,est,0.16449255294065496
epn,aep,m,est,-5.647894237403013e-4
epn,aep,bl,se,0.007636566732986295
epn,aep,br,se,0.004466518694315002
epn,aep,al,se,0.0022820498047315977
epn,aep,ar,se,0.007555843848441881
epn,aep,m,se,2.4400511289166487e-4
epn,aep,n,stat,4220
epn,aep,loglik,stat,-10.106452661854727
epn,aep,AIC,stat,30.212905323709453
epn,stable,alpha,est,0.6428230365753067
epn,stable,beta,est,0.17651655480083434
epn,stable,gamma,est,0.04752367325528346
epn,stable,delta,est,-0.0022180924401898846
epn,stable,alpha,se,0.011162824322997313
epn,stable,beta,se,0.018825324059856735
epn,stable,gamma,se,0.001546547484224664
epn,stable,delta,se,7.224403004190666e-4
epn,stable,n,stat,4220
epn,stable,loglik,stat,-223.47810358180473
epn,stable,AIC,stat,454.95620716360946
ltp,st,m,est,-0.024335533979082027
ltp,st,s,est,0.07455545217578488
ltp,st,df,est,0.4771752781806344
ltp,st,m,se,0.0010202793571911768
ltp,st,s,se,0.0017840442711131604
ltp,st,df,se,0.006622867614711871
ltp,st,n,stat,11656
ltp,st,loglik,stat,-13729.941195763908
ltp,st,AIC,stat,27465.882391527815
ltp,dln,mu1,est,-2.2220360286871474
ltp,dln,mu2,est,-1.08857994496095
ltp,dln,sig1,est,2.0340277852604487
ltp,dln,sig2,est,2.5944425085370315
ltp,dln,p,est,0.3773196784502454
ltp,dln,mu1,se,0.023875275942648128
ltp,dln,mu2,se,0.03912158474183948
ltp,dln,sig1,se,0.01688223489184902
ltp,dln,sig2,se,0.027661715621662163
ltp,dln,p,se,0.00448963411594448
ltp,dln,n,stat,11656
ltp,dln,loglik,stat,-12694.768169210909
ltp,dln,AIC,stat,25399.536338421818
ltp,nln,mux,est,-1.2032254697356386
ltp,nln,muy,est,-0.31543270100156845
ltp,nln,sig,est,2.171109997256299
ltp,nln,rho,est,0.43723438190935954
ltp,nln,mux,se,0.022569374463672173
ltp,nln,muy,se,0.011730891763322924
ltp,nln,sig,se,0.01797440410042228
ltp,nln,rho,se,0.010273974897204068
ltp,nln,n,stat,11656
ltp,nln,loglik,stat,-12682.16171633228
ltp,nln,AIC,stat,25372.32343266456
ltp,aep,bl,est,0.226088770053132
ltp,aep,br,est,0.15921822561762952
ltp,aep,al,est,0.17075962870602507
ltp,aep,ar,est,0.5659505829814111
ltp,aep,m,est,-6.699480257716346e-4
ltp,aep,bl,se,0.0034928041360419966
ltp,aep,br,se,0.0018642693433283252
ltp,aep,al,se,0.004239327489957477
ltp,aep,ar,se,0.020296079993769884
ltp,aep,m,se,1.6382572149285134e-4
ltp,aep,n,stat,11656
ltp,aep,loglik,stat,-12805.41994473007
ltp,aep,AIC,stat,25620.83988946014
ltp,stable,alpha,est,0.5519714510760028
ltp,stable,beta,est,-0.13454412007371394
ltp,stable,gamma,est,0.10748820427387366
ltp,stable,delta,est,-0.022134673961359416
ltp,stable,alpha,se,0.005445556940637543
ltp,stable,beta,se,0.010171440504825567
ltp,stable,gamma,se,0.0022916550644345064
ltp,stable,delta,se,8.810827359462776e-4
ltp,stable,n,stat,11656
ltp,stable,loglik,stat,-13355.35884947409
ltp,stable,AIC,stat,26718.71769894818
